"source","filename","time2scrape"
"dmccooey","Tetrahedron.txt","0.035"
"dmccooey","SimplestOh_1.txt","0.051"
"dmccooey","SimplestD4v_2.txt","0.052"
"dmccooey","SimplestC8v.txt","0.054"
"netlib","27","0.069"
"dmccooey","Tetrahemihexahedron.txt","0.071"
"dmccooey","TrigonalTrapezohedron.txt","0.071"
"dmccooey","SelfDualHexadecahedron51.txt","0.073"
"dmccooey","SelfDualEnneahedron1.txt","0.074"
"dmccooey","SelfDualDecahedron6.txt","0.08"
"dmccooey","SelfDualHexadecahedron126.txt","0.08"
"dmccooey","RegularHexagonalToroid8_D2Sym1.txt","0.084"
"dmccooey","SelfDualTridecahedron16.txt","0.084"
"dmccooey","SelfDualHendecahedron7.txt","0.087"
"dmccooey","SimplestD5h_1.txt","0.091"
"dmccooey","SimplestOh_2.txt","0.091"
"netlib","11","0.093"
"dmccooey","SelfDualPentadecahedron7.txt","0.097"
"dmccooey","SelfDualTridecahedron7.txt","0.097"
"dmccooey","SelfDualPentadecahedron230.txt","0.1"
"netlib","1","0.1"
"dmccooey","RegularHexagonalToroid9A1.txt","0.104"
"dmccooey","SimplestC9v.txt","0.107"
"dmccooey","SelfDualTetradecahedron294.txt","0.108"
"dmccooey","Heptagrammic72Prism.txt","0.11"
"dmccooey","SquareDipyramid.txt","0.11"
"dmccooey","BiscribedLsnubCube.txt","0.111"
"dmccooey","RegularHexagonalToroid9A2.txt","0.124"
"dmccooey","SelfDualEnneahedron10.txt","0.124"
"dmccooey","GreatCubicuboctahedron.txt","0.128"
"dmccooey","RsnubCube.txt","0.132"
"dmccooey","RegularHexagonalToroid10_2.txt","0.134"
"netlib","70","0.134"
"dmccooey","SelfDualDecahedron8.txt","0.141"
"netlib","62","0.142"
"dmccooey","Rhombicuboctahedron.txt","0.143"
"dmccooey","SimplestD5h_2.txt","0.143"
"dmccooey","SimplestS4_1.txt","0.143"
"dmccooey","RegularHexagonalToroid9B.txt","0.147"
"dmccooey","SelfDualHendecahedron8.txt","0.148"
"dmccooey","OctagonalTrapezohedron.txt","0.149"
"dmccooey","SelfDualTridecahedron17.txt","0.15"
"dmccooey","PentagonalAntiprismTrapezohedronToroid.txt","0.151"
"dmccooey","SelfDualHexadecahedron6.txt","0.151"
"netlib","28","0.151"
"dmccooey","SquarePrism.txt","0.152"
"netlib","2","0.154"
"dmccooey","RegularHexagonalToroid11.txt","0.155"
"dmccooey","SelfDualTridecahedron9.txt","0.157"
"dmccooey","SimplestCi.txt","0.16"
"dmccooey","SelfDualHexadecahedron144.txt","0.161"
"netlib","130","0.162"
"dmccooey","TetrakisCuboctahedron.txt","0.164"
